user_id,screen_name,location
1931479250239987712,Pietzin1,"Førde, Norge"
1858733169396125696,Helgener1356,Seu rabo
1931023034711744514,AJReborn4,
1910843748717678592,BOgamaGX6,
1906106151772868608,ItxmeAndme,
1093926199925960704,PaulMinor4real,
1500090370838962177,Lynxafd,
1931469638002765825,KaydenColl25472,
1789451446120751104,CiroGarcia310,
1931239505107013632,FaZe_StAcKxX,
1897414214618370048,Meezpointe,
1430395576500334596,dillysillywilly,
1824332829268033536,eshanskabir,
1895551971127369728,KeabetsoeM32426,
1573498848659619840,DemonteMcDanie4,"Raleigh, NC"
1890456066602782720,eman3214567,
1574883683525337099,AkagaminoLuffy,"Thessaloniki, Greece"
1358135701477486594,NihadKadiri,
1854541558562873352,donna_cheryl1,Oklahoma city 
1497829558388723713,Tomasz95432663,
1931473109334298624,AlberdiBel82427,
1931305695925682176,Lemzo_1,
1930887738728812544,Rsa54079Rsa,
1922704429540638720,Adamxo999,
1605336648446771202,BrianGachanja11,
1931458329823567872,esrmango_,
1923018227313147906,Nathan289732,
1931470458496417792,Unknown32558Z,
1931465386605576192,mattmillz23,
1910860066577850368,EzSkillzzz,Colorado
1836860564212977664,Qdog66115,
1626383672902406146,JafB08,"London, UK"
1931468855978676224,savier6312,
919656084654059520,tetsuasakura_,
1850257356137078784,akash_2528_,Sainthia 
1931216100559142912,Katey10272West,
1430288602488049671,booeloll,
1931465975628775424,Ferjaoui_Rayen,
1931418241865322496,Lilparsapr,
1576134980970979331,fzx_gg,
1931466749376897024,pineyro_je98128,
1350700027925168128,70AI5,Libya
1778534149898559488,mOzo_INJ,
1901355047302189056,BatyjhanI26695,
1924262241156665344,MJ5130803083130,
1524494729534185474,NANAIbr82027934,Ouagadougou
1886071053283119104,dorisemily16,"Tampa, FL"
1929971784180199424,Jest_Nest8008,
1746505130357161984,BloodyGee20,Nigeria
1931456111342723072,Justaloner211,
1266962412277624833,shanti64902023,
1920223841642819585,Jameshallboi26,
1513156976947175431,lucas_sansen,
1588683539674980353,Kylo87889,
1866261737504178177,RassieDavi21298,South Africa🇿🇦
1305954873419001856,Rafin359341151,"Dhaka, Bangladesh"
1931459029596803073,alexandder90221,
1463479937738821644,mxksuu,
1931454998136930304,M__A__L__1,
1830969057966780416,Luffytaro9285,
1930957890241900544,Nbacarti256,
1931458290224869376,peytonlucas167,
1931457294996320256,stopit77220,
1931457871318827008,bmw_bmc55382,
1925185275581411328,Alcaraz225,
1847361478782803968,Milan787_,
1759238529891069952,MomenOmer249,The World
1828383747076464640,Abderrahma1595,
1931125373049372672,synn34424437014,
1453584129396781058,Arruto777,
1817964684420476928,AtulJokie24336,
1755307988309741568,nx85chmdj8,
1433072160898105347,PumPumBoiii,
1650405157174214656,abod7i_1,
1692482300523503616,sakariye_8,
1912306666634375168,JayGraham371964,
1764645037286076416,bryanzeetos,brasil😱
1931332416171380736,vvs_big17,
1655599565037338625,WalkieMe,
1681376768538869760,Scardl777,
1930083219988172800,brandao57389,
1833826778139275264,lwfy263465,
1853634862726447104,LiamMierzwa,
1931444845668917248,Imagined_One,
1674215630285996033,91Ruben_OOO,
1931406248009703424,Jamalchicken91,
1789397091250253824,timmothy774305,
1931444981866393600,LJ5523,
1592576074587807744,ABDULRA7899,MT/OL
1930725652103323649,alex_tdot08,
1931405367776575488,Jacob6446921,
1887816650663284736,G38867Pulido,
1813275784955764736,y_xxsandy,
1359077425238392833,_ASJ0,
1931150725486374912,Mgl_Arz,
1925681591256223748,OMARRR347488819,
1869946111810514944,BahdBwoii,
1930749604040949760,Dawe415078,
1915674916415746048,icdkarma,"Manhattan, NY"
1817708388630802432,AliAlkhala12812,Kingdom of Saudi Arabia
1931443360352645120,Kpisurboy,
1931440477661966336,inhomann17911,
1931442381716656128,Baley1109,
1790851298281046016,qpskiii2,
1931199101116526592,bejsenbiev90546,
1882498495333994496,33ikna,
1800800518089961472,Imnoahwilliams,
980925290527576065,winstoncire,
1484364449494409227,Kaisterrr3,
250813329,ShaheenXO,"Johannesburg, Gravity Falls"
1930070842689347585,pipas_555,
1931439541413670912,BabyDamari73201,
