Video ID,Video Title,Comment ID,Author,Published Time,Likes,Comment Text
22kRSaY51SE,iShowSpeed IN DISGUISE,UgzJTnDIK5I8k7IeXjB4AaABAg,@nuqi,11 months ago (edited),3.4K,"-Exact music
-Exact costume
-Exact script
-Exact freestyles
-Exact text
-Exact ball
-Exact video length
-Exact location (Madrid)
-Exact thumbnail
-Exact skills"
22kRSaY51SE,iShowSpeed IN DISGUISE,Ugx8xflrPf3aWyE94E54AaABAg,@user-zi5tu,7 months ago,679,1:14 she will not regret it🗣️🗣️😭😭😭
22kRSaY51SE,iShowSpeed IN DISGUISE,Ugx6M6GmGX1p8llkMmJ4AaABAg,@B.12-i4y,11 months ago,650,"There is a guy named Cristiano Ronaldo. He imitated you, Speed"
22kRSaY51SE,iShowSpeed IN DISGUISE,Ugz48gHJqOKKV3aJd9F4AaABAg,@slayinhard,11 months ago,591,"speed, 인간으로서 예의는 지키자. 콘텐츠가 1순위라고 해도 사람한테 상처나 피해를 주면 안되지. 진심으로 뉘우쳐라. 인종차별한 것도 사과하고. 좀 깨달았으면 좋겠다, 이게 무리한 부탁이니?"
22kRSaY51SE,iShowSpeed IN DISGUISE,UgzDIo9Xph4O8nYkOQd4AaABAg,@dkjeejwhwhww,11 months ago,299,"인종차별에는 가장 민감하면서 
다른 인종은 무시하는 놈들 ;"
22kRSaY51SE,iShowSpeed IN DISGUISE,UgwtKL1YK-vILwriVVt4AaABAg,@Antigonex,1 month ago,14,The office / corpo looking dude at 1:30 dodged that ball so quick & smoothly. That’s how you know the country is raised on soccer
22kRSaY51SE,iShowSpeed IN DISGUISE,Ugwqnjwb9usE_GFO6ql4AaABAg,@eeew8247,11 months ago,755,"매일 영상 챙겨봤는데 이건 아니지
인종차별하는 편협한여자랑 딱 수준이 맞다"
22kRSaY51SE,iShowSpeed IN DISGUISE,Ugy49AxYnIva4R0QbUh4AaABAg,@안녕-j1y7v,11 months ago (edited),1.1K,"나는 한국인입니다
우리는 다같이 구독취소를 해야합니다
에이미와 스피드의 관계에 대해 대한민국 국민 팬 모두가 응원했지만, 스피드가 보여준 무례하고 예의없는 행동은 한국팬과 전세계 팬들에게 큰 실망을 주었습니다.
특히 스피드는 잘못에 대해 전혀 인지를 못하고 
”머리카락 짤라서 에이미가 화냄” 라고 수많은 팬들 앞에서 허위로 에이미를 모욕한 부분은 스피드가 아직 많이 미숙하다는것을 보여줬습니다.
스피드는 잘못한 부분에 대해 인지를 못하고 있습니다

1.한국시간 새벽4시에 스피드는 시차에 대한 존중을 무시하고 에이미한테 전화를 여러번 걸어 에이미가 잠에서 깨어나도록 했습니다. 에이미가 자느라 전화를 받지 못하자 화를 냈습니다.
에이미는 아직 공부를 하기 때문에 수면패턴이 매우 중요합니다.
2.스피드는 에이미를 새벽 4시에 잠에서 깨우게 한뒤 에이미의 의사도 듣지 않고 멋대로 전화를 끊어 에이미에게 무례하게 굴었습니다.
3.스피드는 미용사의 말만 믿고 수많은 팬들 앞에서 자고있는 에이미가 ”바람피고 있다“ 라고 허위로 모욕했습니다.
4.미용사는 조롱과 비웃음,인종차별을 하며 에이미에게 상처를 주었습니다.
5.스피드는 평소 에이미의 문자를 씹고 무시하는 행동을 하지만 방송때만 에이미가 자는 새벽 4시에 전화를 하며 시청자를 늘리는 행동을 했습니다.
6.스피드는 미용사가 에이미를 조롱할때 같이 웃으며 동조했습니다.

만약 스피드가 정말 에이미를 생각했다면 미용사가 에이미가 바람피는게 아니냐 라고 말할때 에이미를 믿으며 아니라고 단호하게 말했어야 하며, 미용사가 인종차별적인 발언과 에이미가 말할때마다 따라하며 조롱을 할때 제지했어야 합니다.
또한 시차를 존중하며 에이미가 자는 시간엔 전화테러를 하지 않았어야 합니다.
집에 “여자”미용사를 부르는행동은 평소 에이미가 스피드를 생각해 남자팬들과 사진조차 찍지 않는 것에 비해 굉장히 책임감 없는 행동이였습니다.
또한 방송을 안할때도 에이미와 연락하며 존중했어야 합니다.

스피드, 한국팬들과 전세계 팬들은 이번일로 굉장히 실망했습니다 만약 반성한다면 에이미에게 진심있게 사과하고 에이미를 존중해주세요.

❗️추가로❗️

이로써 우리는 알수있다.
우리 대한민국 국민들은 평소에 서로를 시기하고 질투해도 
정작 도움이 필요한 상황이 온다면 단합하여
민족을 지키기 위해 노력한다. 
또한 전세계 민족들도 잘못된점을 인정하며 스피드를 지적하고 에이미를 지지하는 모습이 아직 우리 사회는 살만하다고 다가온다. 에이미를 지키기 위해 온 대한민국 국민 여러분들이 너무 자랑스럽다. 
우리는 각자의 위치에서 에이미를 돕기 위해 행동해야 한다. 
1.구독취소
2.사건을 과장하거나 허위사실유포❌
3.스피드가 한 잘못에 대해 ”사실로“지적

👉스피드와 미용사가 에이미에게 한 인종차별과 모욕,존중하지 못한 행동은 어떠한 핑계로도 절대 정당화 할수 없다. 
스피드는 평소에 흑인인종차별에 대해 부당하다고 말하며 굉장히 싫어한다. 
그러나 스피드는 아시아인 인종차별에 대해 동조하며 웃었다. 
스피드는 인종차별에 대한 모욕감을 누구보다 잘 알것이라고 생각한다.  자기 자신이 인종차별을 당하는것은 극도로 싫어하지만 아시아인에게 인종차별을 하는것은 스피드의 
이중적인 모습을 보여준다. 
전세계 사람들에게 말한다 스피드를 감싸주지 마라
정말 스피드의 팬이라면 스피드가 한 잘못된 행동에 대해 지적하며 다시는 그런행동을 하지 못하게 교훈을 줘야 한다.
스피드가 이러한 점을 고치지 못한다면 절대
성장할수 없다.

이댓글을 보고있다면 좋아요를 눌러 위로 올려주길 바란다🙇‍♂️"
22kRSaY51SE,iShowSpeed IN DISGUISE,UgyOem_ZwbsLDvxnRNp4AaABAg,@saikirankeelu.....7640,11 months ago,1.6K,"Bro copied everything as ronaldo.. 
Big respect bro.."
22kRSaY51SE,iShowSpeed IN DISGUISE,UgwyQ1OpxHbaWjW7VuV4AaABAg,@Haruna.503,5 months ago,48,1:07 HEY HEY HEY💀
22kRSaY51SE,iShowSpeed IN DISGUISE,UgzVeMjyauJ2MUtwq1N4AaABAg,@MorbiusChungsys,11 months ago,1.9K,Bro is more Ronaldo than Ronaldo is himself 😂😂 it's actually crazy
22kRSaY51SE,iShowSpeed IN DISGUISE,UgwefvHl7O-z9UHqLSl4AaABAg,@jeanveljean9446,11 months ago,683,"""I CANT BARK"""
22kRSaY51SE,iShowSpeed IN DISGUISE,Ugw4eVDCsjtsK0ZkXVB4AaABAg,@최예은-e6c,11 months ago,130,예의없고 생각없고 탐욕스러운게 딱 그 미용사랑 수준이 알맞는다..
22kRSaY51SE,iShowSpeed IN DISGUISE,UgwZA5PE1ey96R-TEPx4AaABAg,@r.agamingnvg6153,1 day ago,2,Bro speed is actually good at football now ngl
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,UgwqMFvrTgpxT5rZpM54AaABAg,@MdzDrillz,1 year ago,8.5K,Bro went from a humble kid chasing his dreams to chasing cheese🙏🏾😭
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,Ugy5_P5jhAg-sVfJejZ4AaABAg,@jcpesa19,1 year ago,3.7K,"Bro got emotional yesterday, and came back stronger than ever the next day 💀"
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,Ugz0_2fbsJ0vRN0zPy94AaABAg,@ClipsCabin,1 year ago,3.5K,bros completing every side quest
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,Ugx-DWTIn3coDJjW-_h4AaABAg,@BrikBeans,11 months ago (edited),57,3:25 Gav & Dan from slowmo guys in the back
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,Ugytzm7cEN3A3bXetL14AaABAg,@qo5c,1 year ago,2.4K,Team Speed x Amy 🫶🏻
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,UgwWmZ5nXWjqDbGjl7p4AaABAg,@cba2make1up,1 year ago,1.3K,Bro was ready to throw his life away after Amy left 😭
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,UgwNESIYKjnJTJqAtd54AaABAg,@Banana_DuckYT,11 months ago,257,1:45 Random Making Moves from Sweden 😂😂
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,UgyJkopgBzv_tsj6cbN4AaABAg,@Shaldeen,11 months ago,61,3:24 le journaliste de Quotidien 😂😂
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,UgzGo_3Szv9faKbmhsh4AaABAg,@itseverydaybro4081,11 months ago,300,Nice to see Jonsson   over there making the interview 🤩
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,UgwhnW2uk9PK5ZkFfLF4AaABAg,@itzzrahim,1 year ago,486,Speed has finished the game and is now just doing side missions 😂
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,Ugy4tzvKUNTGHQj-htp4AaABAg,@mr.unknown2374,11 months ago,149,1:36 speed got to meet jonsson thats really cool for speed
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,UgwxAS-ZtBk13kfJQRt4AaABAg,@carolinaduque7216,2 months ago,16,0:23 Somebody Died💀💀💀🤞🤞🤞🤞
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,UgzYtIGrgstGKj-LPgV4AaABAg,@AaronSmitty3,1 year ago,1K,Bro got motivated after confessing to Amy♥ 💪
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,Ugzy67CtMFSPqZTmOrZ4AaABAg,@almond_milk45,1 year ago,333,speed still wearing amy’s bracelet is so adorable 🥹
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,Ugx89lg842pDYh6K1JR4AaABAg,@BathiniBharathi,1 year ago,429,2:37 bro literally kicked opponents head💀
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,UgxH8whzJ8ESHUZCyY54AaABAg,@Skatergv,11 months ago,8,"“I might do the second one”
“Don’t, please” 😂😂😂"
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,UgzJOhSOz3em8R9v3Z94AaABAg,@RedwanAlam,1 year ago,203,"0:28 Amy's gift.. Speed we want Amy in UCL final pls, she's really a goodluck charm"
